ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
"GB00B1YW4409"	"GBX"	923	946	286667	269811	108158948	112027146	110750000	0
"NL0000852564"	"EUR"	0	0	0	0	0	0	0	0
"ES0132105018"	"EUR"	0	0	0	0	0	0	0	0
"ES0105046009"	"EUR"	0	0	0	0	0	0	0	0
"BE0974276082"	"EUR"	0	0	0	0	0	0	0	0
"ES0125220311"	"EUR"	0	0	0	0	0	0	0	0
"FR0000120404"	"EUR"	0	0	0	0	0	0	0	0
"IE00BWT6H894"	"GBX"	1462	1473	68875	71122	838758176	844054163	846800000	0
"GB00B8HX8Z88"	"GBX"	531	527	214335	214938	45714331	46172897	46420000	0
"GB00BMJ6DW54"	"GBX"	996	1035	631970	646166	52778384	53188349	53320000	0
"BE0003818359"	"EUR"	0	0	0	0	0	0	0	0
"BE0003764785"	"EUR"	0	0	0	0	0	0	0	0
"NL0011540547"	"EUR"	0	0	0	0	0	0	0	0
"IE00BD1RP616"	"EUR"	41	28	27804	21661	603310	612731	614200	0
"CH0012138605"	"CHF"	147	197	22939	30668	3224516	3320397	3300000	0
"DE000A1EWWW0"	"EUR"	23	0	667	0	16100000	0	16100000	0
"GB00B02J6398"	"GBX"	1044	755	143892	101670	223652667	225688307	225600000	0
"CH0319416936"	"CHF"	234	251	6271	7995	14965381	15844742	15220000	0
"CH0024638196"	"CHF"	215	120	9939	4908	17428408	17836278	17885000	0
"GB00B2PDGW16"	"GBX"	71	115	19051	28212	137579140	144764167	142550000	0
"CH0000816824"	"CHF"	238	200	157294	131095	650422	715151	668000	0
"CH0025751329"	"CHF"	946	1026	57048	66637	4912865	5048150	4967000	0
"CH0102659627"	"CHF"	102	117	341977	403771	81939	86540	84000	0
"CH0012410517"	"CHF"	226	203	11304	10464	15671028	15852028	15880000	0
"NL0000303709"	"EUR"	0	0	0	0	0	0	0	0
"CH0043238366"	"CHF"	217	249	724923	1022749	105378	114636	109300	0
"CH0009002962"	"CHF"	328	207	1954	837	212541965	220144802	218600000	0
"CH0012453913"	"CHF"	94	130	6716	10120	7872576	8174568	8118000	0
"CH0021218067"	"CHF"	7	69	95089	2761867	8530	8878	8630	0
"CH0012549785"	"CHF"	236	151	4412	3307	29727996	32314426	31540000	0
"CH0038388911"	"CHF"	59	58	3150	2648	5857769	5954503	5900000	0
"CH0005795668"	"CHF"	99	62	1400605	1109402	23162	23758	24050	0
"SE0007871645"	"SEK"	0	0	0	0	0	0	0	0
"SE0000382335"	"SEK"	1	0	5	0	74020000	0	74020000	0
"FR0013227113"	"EUR"	0	0	0	0	0	0	0	0
"BE0974264930"	"EUR"	0	0	0	0	0	0	0	0
"SE0003366871"	"SEK"	0	0	0	0	0	0	0	0
"DE000A1PHFF7"	"EUR"	0	46	0	1633	0	7017183	0	0
"SE0000163628"	"SEK"	0	0	0	0	0	0	0	0
"FR0000031122"	"EUR"	0	0	0	0	0	0	0	0
"FR0000120073"	"EUR"	0	0	0	0	0	0	0	0
"BMG3682E1921"	"NOK"	0	0	0	0	0	0	0	0
"NO0003055501"	"NOK"	0	0	0	0	0	0	0	0
"NO0010215684"	"NOK"	0	0	0	0	0	0	0	0
"ES0109427734"	"EUR"	0	0	0	0	0	0	0	0
"SE0005999836"	"SEK"	0	0	0	0	0	0	0	0
"CH0110240600"	"CHF"	117	108	30870	40511	1267241	1286326	1280000	0
"NO0003108102"	"NOK"	0	0	0	0	0	0	0	0
"DE000A0WMPJ6"	"EUR"	0	0	0	0	0	0	0	0
"SE0000695876"	"SEK"	0	0	0	0	0	0	0	0
"ES0157097017"	"EUR"	0	0	0	0	0	0	0	0
"DE0008404005"	"EUR"	23	13	115	1898	17550000	24020000	17550000	0
"SE0000101362"	"SEK"	0	0	0	0	0	0	0	0
"DE0005232805"	"EUR"	0	0	0	0	0	0	0	0
"GB00BYQ0JC66"	"GBX"	166	152	108105	115382	48831743	49338970	49340000	0
"SE0005677135"	"SEK"	0	0	0	0	0	0	0	0
"FR0010220475"	"EUR"	0	0	0	0	0	0	0	0
"BMG1738J1247"	"NOK"	0	0	0	0	0	0	0	0
"GB0000904986"	"GBX"	185	142	28231	24325	211857720	217209097	217100000	0
"GB00B62G9D36"	"GBX"	214	133	606636	192869	13917292	14343456	14090000	0
"PTALT0AE0002"	"EUR"	0	0	0	0	0	0	0	0
"FR0000130403"	"EUR"	0	0	0	0	0	0	0	0
"ES0109067019"	"EUR"	0	0	0	0	0	0	0	0
"FR0000054322"	"EUR"	0	0	0	0	0	0	0	0
"SE0007158829"	"SEK"	0	0	0	0	0	0	0	0
"DK0060094928"	"DKK"	0	0	0	0	0	0	0	0
"CH0011795959"	"CHF"	118	186	1667	2395	41491751	42258225	41900000	0
"CH0022268228"	"CHF"	210	83	453641	47087	658486	714379	710000	0
"SE0006509949"	"SEK"	0	0	0	0	0	0	0	0
"CH0016440353"	"CHF"	172	152	1322	1066	71626399	72786350	72550000	0
"GB00B1XZS820"	"GBX"	1505	1488	132940	132852	285452081	287434668	290300000	0
"ES0130625512"	"EUR"	0	0	0	0	0	0	0	0
"BE0974293251"	"EUR"	46	23	2737	483	4500000	5600000	4500000	0
"NO0010735343"	"NOK"	0	0	0	0	0	0	0	0
"GB00BCKFY513"	"GBX"	63	22	477907	174844	3740698	3781258	4030000	0
"GB0000456144"	"GBX"	940	955	228953	231968	110881827	112409102	113350000	0
"DK0010244425"	"DKK"	0	0	0	0	0	0	0	0
"DK0010244508"	"DKK"	0	0	0	0	0	0	0	0
"IM00B5VQMV65"	"GBX"	974	1030	209701	223752	124091713	125142558	127050000	0
"DE0006048408"	"EUR"	0	0	0	0	0	0	0	0
"SE0006887063"	"SEK"	0	0	0	0	0	0	0	0
"SE0007074281"	"SEK"	0	0	0	0	0	0	0	0
"BMG4593F1389"	"GBX"	89	108	38269	38940	94545177	96512443	95540000	0
"SE0001515552"	"SEK"	0	0	0	0	0	0	0	0
"SE0000190126"	"SEK"	0	0	0	0	0	0	0	0
"LU1598757687"	"EUR"	0	0	0	0	0	0	0	0
"LU1598757687"	"EUR"	0	0	0	0	0	0	0	0
"SE0000108847"	"SEK"	0	0	0	0	0	0	0	0
"ES0176252718"	"EUR"	0	0	0	0	0	0	0	0
"FR0010609263"	"EUR"	0	0	0	0	0	0	0	0
"SE0000273294"	"SEK"	0	0	0	0	0	0	0	0
"FR0000120560"	"EUR"	0	0	0	0	0	0	0	0
"NO0010629108"	"NOK"	0	0	0	0	0	0	0	0
"ES0161560018"	"EUR"	0	0	0	0	0	0	0	0
"DK0060580512"	"DKK"	0	0	0	0	0	0	0	0
